tail_num,dep_delay,arr_delay,isCraft,isCarrier
N157UW,9.0,10.0,0.1487279843444227,0.7064579256360078
N158AN,10.0,11.0,0.17266949152542374,0.6832627118644068
N158GJ,14.0,20.0,0.263,0.545
N15910,12.0,19.0,0.18269230769230768,0.5563186813186813
N15912,11.0,18.0,0.15494791666666666,0.5703125
N15969,5.0,23.0,0.0,0.5714285714285714
N15980,14.0,21.0,0.1823671497584541,0.5519323671497585
N15983,8.0,15.0,0.16267942583732056,0.59688995215311
N15986,9.0,17.0,0.17326732673267325,0.5631188118811881
N159AN,9.0,10.0,0.15239154616240266,0.7230255839822024
N159GJ,17.0,22.0,0.29464285714285715,0.5223214285714286
N16008,10.0,7.5,0.06578947368421052,0.7763157894736842
N16009,8.0,7.5,0.02702702702702703,0.7972972972972973
N1602,9.0,6.5,0.03225806451612903,0.7903225806451613
N1603,6.5,13.0,0.03333333333333333,0.7833333333333333
N1604R,11.0,10.0,0.0847457627118644,0.7627118644067796
N1605,8.0,7.0,0.047619047619047616,0.8095238095238095
N16065,5.5,6.0,0.06060606060606061,0.7424242424242424
N1607B,12.0,12.0,0.05,0.8
N1608,6.0,2.0,0.034482758620689655,0.8620689655172413
N1609,12.0,-1.0,0.1724137931034483,0.7931034482758621
N160AN,10.0,12.0,0.1571753986332574,0.6856492027334852
N160GJ,20.0,24.0,0.2667398463227223,0.54006586169045
N160SY,6.0,13.0,0.13910186199342825,0.6319824753559693
N1610D,6.0,3.0,0.0,0.9375
N16112,19.0,23.0,0.26790697674418606,0.5730232558139535
N1611B,17.0,12.5,0.1,0.75
N1612T,19.0,4.5,0.023809523809523808,0.9285714285714286
N1613B,19.0,10.0,0.16,0.72
N16147,31.0,33.0,0.2875605815831987,0.4862681744749596
N16149,14.0,19.0,0.18946047678795483,0.560853199498118
N16151,18.0,23.0,0.26864330637915546,0.5426774483378257
N16170,11.5,19.0,0.1525974025974026,0.573051948051948
N16178,16.0,21.0,0.21578947368421053,0.5447368421052632
N16183,25.0,27.0,0.274981765134938,0.48358862144420134
N161AA,9.0,10.0,0.14651162790697675,0.7034883720930233
N161GJ,14.0,20.0,0.26429479034307496,0.5641677255400254
N161PQ,10.0,13.0,0.2011049723756906,0.6464088397790055
N161SY,10.0,15.0,0.18559837728194725,0.6237322515212982
N161UW,8.0,10.0,0.1075,0.7525
N16217,8.0,13.0,0.15191986644407346,0.6143572621035058
N16234,11.0,16.0,0.1856,0.608
N162AA,9.0,10.0,0.14857744994731295,0.7007376185458377
N162GJ,17.0,20.0,0.25069637883008355,0.584958217270195
N162PQ,10.0,11.0,0.16630434782608697,0.6902173913043478
N162SY,6.0,12.5,0.1591375770020534,0.6437371663244353
N162UW,9.0,9.0,0.13469827586206898,0.7467672413793104
N163AA,9.0,9.0,0.15468409586056645,0.7156862745098039
N163GJ,18.0,20.0,0.27715877437325903,0.575208913649025
N163SY,5.0,11.0,0.12943632567849686,0.6597077244258872
N163US,10.0,9.0,0.14491017964071856,0.7197604790419162
N164GJ,16.0,22.0,0.27001194743130225,0.5495818399044206
N164NN,10.0,12.0,0.17912087912087912,0.6978021978021978
N164SY,5.0,12.0,0.14364035087719298,0.6348684210526315
N16541,10.0,18.0,0.15690866510538642,0.5655737704918032
N16546,10.0,19.0,0.17295980511571254,0.5468940316686967
N16559,9.0,17.0,0.15569620253164557,0.5848101265822785
N16561,11.0,22.0,0.19884393063583816,0.5202312138728323
N16571,9.0,16.0,0.1554140127388535,0.5961783439490446
N165GJ,14.5,18.0,0.23225806451612904,0.5763440860215053
N165NN,10.0,12.0,0.18230852211434737,0.6785329018338727
N165SY,4.0,10.0,0.1273957158962796,0.673055242390079
N165US,10.0,10.0,0.16024973985431842,0.700312174817898
N166GJ,17.0,21.0,0.2709125475285171,0.5418250950570342
N166NN,9.0,12.0,0.17037861915367483,0.6636971046770601
N166PQ,16.0,16.0,0.22095959595959597,0.5972222222222222
N166SY,7.0,13.0,0.15751295336787566,0.6290155440414508
N16701,10.0,15.0,0.16029411764705884,0.5779411764705882
N16703,11.0,16.5,0.20597014925373133,0.5432835820895522
N16709,9.5,13.0,0.15671641791044777,0.6134328358208955
N16713,10.5,14.0,0.16917293233082706,0.5902255639097744
N16732,9.0,17.0,0.1849624060150376,0.5729323308270676
N167AN,9.0,10.0,0.14590347923681257,0.6992143658810326
N167GJ,18.0,21.0,0.30294906166219837,0.5187667560321716
N167SY,4.5,12.0,0.13597430406852248,0.6595289079229122
N167US,10.0,9.0,0.13523459061637536,0.7470101195952162
N168GJ,12.0,17.0,0.23182957393483708,0.5864661654135338
N168SY,7.0,11.0,0.14891304347826087,0.6652173913043479
N16911,10.0,21.0,0.18421052631578946,0.5373961218836565
N16976,13.0,20.0,0.18969298245614036,0.5537280701754386
N16981,11.0,20.0,0.17647058823529413,0.5477941176470589
N16987,7.0,15.0,0.14728682170542637,0.6146179401993356
N169DZ,9.0,10.0,0.046153846153846156,0.8
N169GJ,15.0,19.0,0.23693803159173754,0.574726609963548
N169UW,11.0,11.0,0.16231884057971013,0.7053140096618358
N17002,12.0,15.0,0.064,0.672
N170GJ,16.0,21.0,0.2897914379802415,0.5378704720087816
N170PQ,10.0,10.0,0.16970998925886144,0.6874328678839957
N170SY,5.0,10.0,0.144,0.6937142857142857
N170US,10.0,9.0,0.14939024390243902,0.733739837398374
N17104,14.0,15.5,0.1536697247706422,0.6146788990825688
N17105,10.0,12.0,0.10022779043280182,0.6947608200455581
N17108,10.0,18.0,0.1505016722408027,0.5635451505016722
N17115,8.5,15.0,0.12234042553191489,0.6170212765957447
N17122,12.5,13.5,0.158203125,0.640625
N17126,9.0,10.5,0.10321100917431193,0.6674311926605505
N17128,12.0,14.0,0.11440677966101695,0.6504237288135594
N17133,10.0,10.0,0.11713665943600868,0.6811279826464208
N17138,18.0,21.0,0.26857654431512984,0.5962399283795882
N17139,8.0,10.0,0.13572854291417166,0.6666666666666666
N17146,15.0,21.0,0.23535353535353534,0.5686868686868687
N17159,8.5,18.0,0.16149068322981366,0.5652173913043478
N17169,23.0,27.0,0.27870090634441086,0.4879154078549849
N17185,12.0,19.0,0.1964856230031949,0.547923322683706
N17196,16.0,20.0,0.19607843137254902,0.530920060331825
N171DN,8.0,3.0,0.05747126436781609,0.8735632183908046
N171DZ,9.0,10.0,0.06349206349206349,0.7142857142857143
N171GJ,19.0,21.0,0.25863991081382387,0.5618729096989966
N171SY,4.0,9.0,0.14733178654292342,0.6925754060324826
N171US,9.0,10.0,0.15269461077844312,0.7045908183632734
N17229,12.0,15.0,0.17964071856287425,0.5718562874251497
N17233,10.0,13.0,0.17676767676767677,0.6060606060606061
N17244,9.0,12.5,0.18333333333333332,0.6116666666666667
N17245,9.0,13.0,0.163575042158516,0.6306913996627319
N172AJ,8.0,13.0,0.12747252747252746,0.6813186813186813
N172DN,10.0,13.0,0.11458333333333333,0.65625
N172DZ,7.0,3.0,0.05084745762711865,0.8983050847457628
N172GJ,14.0,19.5,0.26707317073170733,0.5670731707317073
N172US,10.0,10.0,0.14103819784524976,0.7316356513222331
N173AN,10.0,14.0,0.1517094017094017,0.6816239316239316
N173DZ,5.0,7.5,0.0,0.8703703703703703
N173GJ,16.0,20.0,0.2651821862348178,0.5546558704453441
N173SY,4.0,10.0,0.13160987074030553,0.6792009400705052
N173US,11.0,12.0,0.17328519855595667,0.694043321299639
N174DN,8.0,9.0,0.042105263157894736,0.8
N174DZ,6.0,9.0,0.0273972602739726,0.7808219178082192
N174GJ,15.0,20.0,0.2634245187436677,0.541033434650456
N174SY,4.0,9.0,0.12395709177592372,0.7127532777115614
N174US,10.0,10.0,0.15249266862170088,0.7155425219941349
N17560,9.0,16.0,0.16945107398568018,0.5727923627684964
N175AN,8.5,14.0,0.12211981566820276,0.695852534562212
N175DN,7.5,9.0,0.03488372093023256,0.7558139534883721
N175DZ,5.5,3.5,0.019230769230769232,0.8846153846153846
N175GJ,17.0,21.0,0.2618223760092272,0.5617070357554786
N175SY,5.0,11.0,0.1368653421633554,0.6799116997792495
N176AA,9.0,11.0,0.097799511002445,0.7188264058679706
N176DN,6.5,3.5,0.01282051282051282,0.8333333333333334
N176DZ,5.0,2.0,0.03773584905660377,0.8301886792452831
N176PQ,14.0,17.0,0.20412844036697247,0.606651376146789
N176SY,3.0,10.0,0.14013452914798205,0.6681614349775785
N176UW,10.0,11.0,0.1676706827309237,0.714859437751004
N17719,10.0,15.0,0.17065390749601275,0.580542264752791
